0,4.328942
0,4.406828
0,4.288016
0,4.374525
5000,2.851512
10000,2.785830
15000,2.766632
20000,2.755786
25000,2.745147
30000,2.737187
35000,2.720603
40000,2.704919
45000,2.687504
50000,2.665101
55000,2.642817
60000,2.611132
65000,2.601912
70000,2.553737
75000,2.546741
80000,2.496738
85000,2.485925
90000,2.441975
95000,2.428665
100000,2.391462
105000,2.376660
110000,2.360065
115000,2.344168
120000,2.340744
125000,2.315101
130000,2.313894
135000,2.303381
140000,2.302048
145000,2.307405
150000,2.306931
155000,2.303032
160000,2.311774
165000,2.306280
170000,2.315770
175000,2.312431
180000,2.334212
185000,2.323110
190000,2.358831
195000,2.689134
200000,2.721079
205000,2.736028
210000,2.740814
215000,2.719533
220000,2.723787
225000,2.713343
230000,2.717837
235000,2.714658
240000,2.692013
245000,2.716295
250000,2.784397
255000,2.730296
260000,2.726819
265000,2.675794
270000,2.713517
275000,2.673854
280000,2.675739
285000,2.715133
290000,2.699155
295000,2.757509
300000,2.720504
305000,2.745438
310000,2.718835
315000,2.729485
320000,2.720382
325000,2.723387
330000,2.724546
335000,2.728157
340000,2.712025
345000,2.711864
350000,2.736554
355000,2.741978
360000,2.745229
365000,2.733279
370000,2.732712
375000,2.738018
380000,2.724664
385000,2.716108
390000,2.731293
395000,2.724213
400000,2.742310
405000,2.727409
410000,2.743164
415000,2.723383
420000,2.735411
425000,2.725669
430000,2.739703
435000,2.724054
440000,2.734651
445000,2.720547
450000,2.729233
455000,2.727093
460000,2.726880
